agent_id,n_preferences,n_evaluated_preferences,accuracy,baseline_accuracy
10213,9,9,0.7777777777777778,0.5555555555555556
11429,9,9,0.7777777777777778,0.6666666666666666
11934,9,9,0.5555555555555556,0.6666666666666666
12049,9,9,0.7777777777777778,0.5555555555555556
12063,9,9,0.4444444444444444,0.5555555555555556
12083,9,9,0.1111111111111111,0.6666666666666666
12359,9,9,0.8888888888888888,0.6666666666666666
12375,9,9,0.6666666666666666,0.7777777777777778
12407,9,9,0.8888888888888888,0.6666666666666666
12409,9,9,0.1111111111111111,0.6666666666666666
12423,9,9,0.8888888888888888,0.6666666666666666
12445,9,9,0.5555555555555556,0.5555555555555556
12505,9,9,0.5555555555555556,0.6666666666666666
12534,9,9,0.7777777777777778,0.6666666666666666
12640,9,9,0.4444444444444444,0.6666666666666666
12670,9,9,0.8888888888888888,0.5555555555555556
12712,9,9,1.0,0.6666666666666666
12713,9,9,0.8888888888888888,0.6666666666666666
12729,9,9,1.0,0.7777777777777778
12741,9,9,0.4444444444444444,0.5555555555555556
12748,9,9,0.7777777777777778,0.5555555555555556
12901,9,9,0.7777777777777778,0.5555555555555556
12931,9,9,0.6666666666666666,0.6666666666666666
13034,9,8,0.0,0.8888888888888888
13062,9,9,0.8888888888888888,0.6666666666666666
13181,9,9,0.6666666666666666,0.6666666666666666
13199,9,9,0.6666666666666666,0.5555555555555556
13214,9,9,0.8888888888888888,0.7777777777777778
13389,9,8,0.75,0.8888888888888888
13506,9,9,0.6666666666666666,0.6666666666666666
13508,9,9,0.8888888888888888,0.6666666666666666
13602,9,9,0.0,0.5555555555555556
13607,9,9,0.0,0.7777777777777778
13608,9,8,0.75,0.8888888888888888
13718,9,9,1.0,0.5555555555555556
13784,9,9,0.5555555555555556,0.5555555555555556
13831,9,9,0.6666666666666666,0.6666666666666666
13863,9,9,0.7777777777777778,0.5555555555555556
13869,9,9,0.8888888888888888,0.6666666666666666
13883,9,9,0.6666666666666666,0.7777777777777778
13902,9,9,0.6666666666666666,0.5555555555555556
13916,9,9,0.7777777777777778,0.6666666666666666
13922,9,9,0.7777777777777778,0.7777777777777778
13972,9,9,0.5555555555555556,0.6666666666666666
14010,9,9,0.2222222222222222,0.6666666666666666
14023,9,9,0.4444444444444444,0.5555555555555556
14041,9,9,0.7777777777777778,0.7777777777777778
14074,9,9,0.6666666666666666,0.7777777777777778
14100,9,9,0.1111111111111111,0.5555555555555556
14167,9,9,0.7777777777777778,0.6666666666666666
14208,9,9,1.0,0.6666666666666666
14264,9,9,0.4444444444444444,0.5555555555555556
14353,9,9,0.6666666666666666,0.6666666666666666
14369,9,9,0.5555555555555556,0.5555555555555556
14419,9,9,0.8888888888888888,0.5555555555555556
14421,9,9,0.6666666666666666,0.7777777777777778
14458,9,9,0.8888888888888888,0.6666666666666666
14509,9,9,0.8888888888888888,0.6666666666666666
14539,9,9,0.8888888888888888,0.6666666666666666
14553,9,9,0.4444444444444444,0.5555555555555556
