agent_id,w_v1,w_v2,w_v3,n_preferences,cluster_kmeans,cluster_hierarchical,cluster_gmm
2439,0.1527638507096369,0.0,0.8472361492903631,9,2,2,2
5641,0.2492728682652021,0.0,0.7507271317347979,9,2,2,2
9364,0.0,0.0594143322161054,0.9405856677838944,9,2,2,0
10213,1.0,0.0,0.0,9,1,1,2
11429,0.1544657779003937,0.0,0.8455342220996064,9,2,2,2
11934,0.0725453281286559,0.0,0.927454671871344,9,2,2,2
12049,0.4408135970130151,0.0,0.559186402986985,9,2,1,2
12063,0.0,0.3815505282227804,0.6184494717772194,9,2,0,0
12083,0.6284228996153507,0.3715771003846494,0.0,9,1,1,1
12359,0.0,0.0362897124665932,0.9637102875334068,9,2,2,0
12375,0.3072603648792516,0.0,0.6927396351207483,9,2,2,2
12407,0.0072072561094777,0.0388909540574545,0.9539017898330676,9,2,2,1
12409,0.0,0.7427520251870642,0.2572479748129359,9,0,0,0
12423,1.0,0.0,0.0,9,1,1,2
12445,0.4089313459287257,0.0078520084692456,0.5832166456020287,9,2,1,1
12505,1.0,0.0,0.0,9,1,1,2
12534,1.0,0.0,0.0,9,1,1,2
12640,0.0,0.399297069725244,0.600702930274756,9,2,0,0
12670,0.0,0.0185297293312579,0.981470270668742,9,2,2,0
12712,0.0,0.0463485083995361,0.9536514916004638,9,2,2,0
12713,0.2373106656234604,0.0,0.7626893343765395,9,2,2,2
12729,0.1574333541433361,0.0,0.842566645856664,9,2,2,2
12741,0.0,0.2979840491438654,0.7020159508561347,9,2,2,0
12748,0.0,0.5510876198740506,0.4489123801259494,9,0,0,0
12901,0.0542574352247548,0.0438278802001355,0.9019146845751096,9,2,2,1
12931,0.8013591853770858,0.0,0.198640814622914,9,1,1,2
13034,1.0,0.0,0.0,9,1,1,2
13062,0.0,0.062239165418839,0.937760834581161,9,2,2,0
13181,0.0,1.0,0.0,9,0,0,0
13199,0.2630085660466154,0.0,0.7369914339533846,9,2,2,2
13214,0.8348885034280529,0.0,0.1651114965719471,9,1,1,2
13389,0.0189665835641442,0.0040523034007442,0.9769811130351116,9,2,2,1
13506,0.2581350096318019,0.0,0.741864990368198,9,2,2,2
13508,0.1005745138586883,0.0,0.8994254861413116,9,2,2,2
13602,0.0,0.3611946065674455,0.6388053934325545,9,2,0,0
13607,0.617671181513253,0.382328818486747,0.0,9,1,1,1
13608,0.0440931432971574,0.0,0.9559068567028424,9,2,2,2
13718,0.3539386268713894,0.0,0.6460613731286106,9,2,2,2
13784,0.0,0.2410578593888201,0.7589421406111799,9,2,2,0
13831,0.0904113213384286,0.0,0.9095886786615712,9,2,2,2
13863,0.0,1.0,0.0,9,0,0,0
13869,0.7543366036534678,0.0,0.2456633963465322,9,1,1,2
13883,0.8707946964947854,0.0,0.1292053035052146,9,1,1,2
13902,0.9530550973505432,0.046944902649457,0.0,9,1,1,1
13916,0.2906567997524046,0.0,0.7093432002475953,9,2,2,2
13922,0.0,0.0747737563534591,0.9252262436465408,9,2,2,0
13972,0.0633273811511748,0.0,0.9366726188488252,9,2,2,2
14010,0.6390330805462054,0.0,0.3609669194537946,9,1,1,2
14023,1.0,0.0,0.0,9,1,1,2
14041,0.0118876315279283,0.0,0.9881123684720716,9,2,2,2
14074,0.620064105217947,0.0,0.379935894782053,9,1,1,2
14100,0.4272418945057286,0.5727581054942714,0.0,9,0,1,1
14167,0.0,0.0849504711659083,0.9150495288340916,9,2,2,0
14208,0.0,0.0443161442418003,0.9556838557581996,9,2,2,0
14264,0.0,1.0,0.0,9,0,0,0
14353,0.0,0.2054097723726807,0.7945902276273193,9,2,2,0
14369,0.5620086026718364,0.1055395477067511,0.3324518496214125,9,1,1,1
14419,0.0,0.0719699438894694,0.9280300561105306,9,2,2,0
14421,0.0,0.0453147750858546,0.9546852249141454,9,2,2,0
14458,0.0,0.1252641565632321,0.8747358434367678,9,2,2,0
14509,0.0491449216352013,0.0155037953947761,0.9353512829700226,9,2,2,1
14539,0.9103772600492106,0.0,0.0896227399507893,9,1,1,2
14553,0.7256204779903428,0.0,0.2743795220096572,9,1,1,2
14572,0.0,0.0466685643714891,0.9533314356285107,9,2,2,0
